,GroupID,a,b,c,d,AIC,Converge
0,564,4314.683600237016,-47.16188979304556,0.17112271666899295,-0.00020605969281204523,-30.883385669265138,Y
0,565,-650.9634924468428,8.402860274004055,-0.03525718303710966,4.8415394865554686e-05,-47.52071587467922,Y
0,566,3471.8252005418863,-37.908928440604285,0.13738281139368297,-0.00016520277357343633,-38.47360703921685,Y
0,567,-3215.8883968197274,34.13096921570826,-0.12087868025965029,0.0001428761388219291,-60.27955149298745,Y
0,568,1659.0170439613996,-17.928791241758706,0.06433560154366595,-7.658112667937155e-05,-55.69189271485824,Y
0,569,2871.606133260242,-30.037292221779435,0.10448318255183345,-0.00012074755562965448,-50.66755945100893,Y
0,570,2917.379408273838,-30.4023579451339,0.10527770435408637,-0.0001210087325214591,-50.298666555911,Y
0,571,-78084.63632393784,758.685992392562,-2.454517385461546,0.002644446157641424,1.759634054870082,Y
0,572,-14360.191680135562,132.09163082289993,-0.4025190984235409,0.0004064671648745549,-5.337149600868228,Y
0,573,-53814.01294361792,517.7482937173922,-1.6582964615503104,0.001768572084679165,-1.4748025886853942,Y
0,574,-21880.324293290018,204.73010557184546,-0.6360792697616046,0.0006564305426885338,-3.8365324358566166,Y
0,575,-29910.539556995504,280.9604099014833,-0.8769262250403846,0.000909705392959987,-2.0406555710753267,Y
0,576,-78024.9396757869,756.7248016268194,-2.4439126452332585,0.002628694173379559,-6.878645365120974,Y
0,577,-90957.57469908996,885.6462954504711,-2.8715839889078616,0.0031007762216098485,-0.30948586350509544,Y
0,578,62013.589144680736,-610.3185813944932,2.0003921274806475,-0.0021831892262221342,-21.042738341878813,Y
0,579,-78028.3953208703,755.5878633278616,-2.4364697464716665,0.002616658272796614,-22.62497969142872,Y
0,580,-52614.9862254133,504.9821576079868,-1.6133652827559337,0.0017162415936106486,-3.841239912022143,Y
0,581,-23241.728057433647,219.29251931833133,-0.687514718182287,0.0007165037615562632,-11.083158028456435,Y
0,582,8540.286905284134,-90.05734808135044,0.31546499999355765,-0.00036666666665969216,-265.0853667862406,Y
0,583,-95930.56803713972,1002.3890261878271,-3.491233290781859,0.004053204818450109,-9.567887124237377,Y
0,584,54178.19652332268,-583.8865230073,2.0943205500601105,-0.0025001174952578678,-3.2620065447195916,Y
0,585,-2695.6654334510226,26.074682415839924,-0.08376708173483297,8.940126949208939e-05,-31.840466680888326,Y
0,586,137308.94618445827,-1375.7371182420914,4.590574164455435,-0.00510054968874109,-3.536841525408228,Y
0,587,190787.64978112432,-1946.5738059130592,6.613724270579437,-0.007481506639198513,14.16352820607067,Y
0,588,325922.97815124935,-3206.3448341231237,10.511271625065499,-0.011480795414699388,27.237026879557206,Y
0,589,92110.10653185305,-941.5274355602344,3.2012159867242134,-0.0036193450455459055,18.712625234296084,Y
0,590,110773.66997670165,-1109.800742568664,3.7068084202200184,-0.004127049807588705,-58.48833841567122,Y
0,591,24413.549136377773,-255.58977030418103,0.8910363862437145,-0.001034288169284038,-3.8062164594504733,Y
0,592,426518.62743023597,-4422.439507941705,15.269664473903779,-0.01755377174831715,30.676592151863876,Y
0,593,42538.270906149046,-437.8840559324804,1.5005065790847452,-0.0017111689585457641,0.7424846618520444,Y
0,594,45606.981850367694,-494.3838799863206,1.7755855252405996,-0.0021117794730928243,20.09130876805819,Y
0,595,63448.33330797428,-662.8213983264606,2.304617309741,-0.002666437299602252,12.727839941105083,Y
0,596,276724.8373942714,-2858.756349684146,9.825367450543325,-0.011232378182488454,35.30903189839003,Y
0,597,16227.629840356269,-164.44194616801366,0.5546286726129067,-0.0006225268155384875,-0.2957293012493043,Y
0,598,1271.4929254343067,-12.692202225746618,0.041949875679699135,-4.583267267013816e-05,-35.09457429544497,Y
0,599,1871.4685258473523,-18.658829767661178,0.061681165088083356,-6.753463916490761e-05,-25.24346972820654,Y
0,600,18862.232358091005,-189.19594779565028,0.6309687891213779,-0.000699393011123027,1.7501608014457926,Y
0,601,19161.428910621355,-192.4785696780443,0.6428807158547485,-0.00071371859318653,7.442428138196245,Y
0,602,32417.292986430144,-321.90612108465837,1.0633300544020465,-0.0011681331183083115,18.487331499828464,Y
0,603,20337.398280151338,-200.92224685556766,0.6597216736642618,-0.0007196085960663604,5.67015695405087,Y
0,604,45094.1186960442,-454.42892010352716,1.5226905968191895,-0.0016959360593862612,26.419309957304154,Y
0,605,47549.62902945507,-479.22367225267294,1.606068753519371,-0.0017893072285687312,33.33193026199271,Y
0,606,25728.379875404073,-275.05607021307316,0.9776879806937698,-0.0011550546514319255,6.65240388576534,Y
0,607,1504.4477508139678,-22.15546481948621,0.09858220424511709,-0.0001377494660452735,-16.80131418819608,Y
0,608,6592.701453331808,-72.25678013046071,0.2627983133735075,-0.00031708536816641277,-11.910348008252921,Y
0,609,2889.539802586785,-36.24928592513758,0.1464490440483831,-0.00019204744149296554,-4.437972205016191,Y
0,610,3331.748903732806,-41.19388692517237,0.1649123752923878,-0.00021501692004236548,-22.321413617346813,Y
0,611,20975.02184381302,-222.67401986907655,0.786392994376609,-0.0009234619949485427,-2.0143199168414903,Y
0,612,6845.919589657765,-76.53119649199346,0.28325793937718446,-0.00034706055605844517,-8.332944551848193,Y
0,613,8943.032828085972,-97.13363512842328,0.35036697416860224,-0.00041951564784879536,-8.365413559435627,Y
0,614,13534.424318978152,-148.8418639743942,0.5426640815484802,-0.0006559063238935844,0.336101826347007,Y
0,615,3068.786525014836,-37.29446859570563,0.14747445986779106,-0.0001905525128535111,-9.212013403725308,Y
0,616,-581.1448782880216,6.680179027094535,-0.02568089244353727,3.299921759431374e-05,-19.20705574750493,Y
0,617,-1760.7827958909575,18.66807563733273,-0.06608831806595977,7.814161501794446e-05,-31.27763681581792,Y
0,618,-1884.456921546121,20.04528738515683,-0.07116747785899483,8.434794280809848e-05,-40.79704108759937,Y
0,619,-1277.3944057359822,13.498791140375694,-0.047676579048264216,5.6300231261320606e-05,-36.55254147742739,Y
0,620,-993.9391955542906,10.843173531864128,-0.039527886598287695,4.815897205338678e-05,-41.77222489452658,Y
0,621,-1156.0567288657278,12.627869259651687,-0.04615100072318938,5.6443228948225383e-05,-40.93176574667158,Y
0,622,-728.2744589133722,8.346132512667662,-0.031801951783645935,4.03137066188861e-05,-31.10615847030759,Y
0,623,-670.497932657338,7.465896709520484,-0.02776958654853808,3.4508219059410005e-05,-34.84899698439561,Y
0,624,-1199.8684681285886,13.04107417667966,-0.04737205744537076,5.7521598599232154e-05,-43.58971467409976,Y
0,625,-587.5292557866694,6.467569601924247,-0.02385725182135187,2.9485223870905415e-05,-39.360917650326826,Y
0,626,-1511.1579254249086,16.55000485470318,-0.060455529997084666,7.367419277318568e-05,-33.21961224237718,Y
0,627,-6173.038387489365,64.31489020253063,-0.22349158425313118,0.00025904130025678206,-29.478201944939904,Y
0,628,1760.6095566813678,-18.055852691921153,0.06159198067812462,-6.986710598459472e-05,-28.49887392703657,Y
0,629,4393.738772701024,-45.646796009728895,0.15794786739247552,-0.00018201620130788162,-40.009947562598256,Y
0,630,3695.995753844464,-38.471452746156324,0.13339762926507426,-0.00015406826381374907,-31.64690782083354,Y
0,631,2384.96670862758,-25.10922593116968,0.08803646286794668,-0.00010277657217259344,-29.027862162908455,Y
0,632,1413.495230890483,-15.63737330497717,0.05735730328248882,-6.976920156862694e-05,-41.674904013526564,Y
0,633,-3424.6635227096403,33.34598859355572,-0.10787501672999904,0.00011600239967819106,-47.5611136921157,Y
0,634,-1994.4719156198826,18.458311469137758,-0.056490709638960586,5.7179733977876974e-05,-50.1383976408995,Y
0,635,-1806.1939357405083,16.309927713863978,-0.0486096718419662,4.779190875190401e-05,-38.412825622037516,Y
0,636,2998.8587100866293,-30.909487731680684,0.1060924524182765,-0.0001211854729029197,-37.64785309582688,Y
0,637,3480.6324334075093,-36.19808275779495,0.12510788255235653,-0.0001436506801114081,-70.88123050237816,Y
0,638,3023.030205944285,-30.821762080110624,0.1045151611455247,-0.00011781719168887578,-94.92877619961112,Y
0,639,-20.08633960696697,0.2568076337304915,-0.001101021352643765,1.573091022784665e-06,-67.40570920335558,Y
0,640,157.93701733972,-1.5148729883833219,0.004792402448060168,-4.980999264078423e-06,-52.94902185886153,Y
0,641,-544.9987145931324,5.405690102043191,-0.017935490599948204,1.9920392626453795e-05,-59.83669073670728,Y
0,642,439203.3465783267,-4617.112941369421,16.15854836069196,-0.01882297573053826,38.491357825229315,Y
0,643,149417.19766740463,-1567.165932250761,5.472930738896985,-0.006362429829644204,17.377622736044763,Y
0,644,-138292.37599008394,1437.527355927938,-4.9796626152756165,0.005748973005611964,-1.7414272179585861,Y
0,645,-44440.81639449204,460.7441382269285,-1.5921375265034041,0.001834053204420019,-7.69837293985378,Y
0,646,-1200.0528201973132,12.543822630097953,-0.04376923185079752,5.099511688569245e-05,-60.18270084793829,Y
0,647,-340.77214541301396,3.6697663626337507,-0.013354588661554012,1.6420970028480567e-05,-71.11324699831172,Y
0,648,-8342.266122197138,82.56574435811505,-0.2721164473513926,0.00029865651905107074,-10.850426705508308,Y
0,649,-27841.092708253047,278.65275053124105,-0.929387588028793,0.001032995901939561,-31.491524829198447,Y
0,650,-9764.722075489828,94.79833277180899,-0.30628603021343725,0.00032936947841370333,-11.991675347594128,Y
0,651,-11568.47632542393,116.583946921533,-0.3916091800607176,0.0004384970244273515,-18.29342422962118,Y
0,652,47059.11049467272,-472.49345578505813,1.5757978718297863,-0.0017444196464939314,22.53553453760711,Y
0,653,-1356218.8806690827,13334.103811462515,-43.71383573355172,0.047790126685440526,29.316899682932704,Y
0,654,617044.6646425562,-6231.880386407513,20.97580948110477,-0.02352747192389269,-5.167640844374095,Y
0,655,817333.0666896906,-8010.96805544149,26.144814539953106,-0.028408397360450723,32.216798033086846,Y
0,656,-375166.6817327623,3777.826867521841,-12.68108462420292,0.014190761001318357,9.403861981495625,Y
0,657,-538036.9517524884,5454.730459345503,-18.429337091497867,0.020751358508569344,-0.4499302864441894,Y
0,658,-244605.6917744158,2526.5272924009814,-8.70413254427434,0.010003376408168927,26.092151454730484,Y
0,659,9587.552832054871,-98.79659993712751,0.3386196584353292,-0.00038588584424036147,28.93751684280931,Y
0,660,6526.018931760347,-67.34694805837114,0.23124625178771102,-0.0002641005820413101,-18.194991108271886,Y
0,661,29725.285171770753,-303.8199355385642,1.033477115822625,-0.0011698032970057452,-6.753403827602609,Y
0,662,-11628.331327773734,118.25718080894148,-0.4018181516666065,0.00045627673830116714,-20.760350928922037,Y
0,663,27027.02571978148,-267.9900167973316,0.8839477115095301,-0.0009695914288547711,-16.490187644206273,Y
0,664,-47313.0677987768,440.4676763251887,-1.3595308840094629,0.0013942479278112585,0.2762935393190089,Y
0,665,131951.1403693213,-1347.6992049575574,4.579845596215351,-0.005177010363214973,16.48171589932965,Y
0,666,-111880.1479260484,1108.1078640683581,-3.655340464298874,0.0040190083313754715,-11.681526759554792,Y
0,667,-62913.670660648844,525.6552837792572,-1.4145746534081778,0.0012087767137690102,13.59028496075721,Y
0,668,-142854.27381590393,1424.5915990079225,-4.7359676612977255,0.005251426724933875,-23.301867739121857,Y
0,669,1020420.3922928694,-9858.886864626153,31.738052633601978,-0.034041373244874384,34.717842144424935,Y
0,670,-21919.592341314055,217.37551276510135,-0.7191265383337476,0.0007940363140636778,-26.48279417961671,Y
0,671,62257.41454384158,-624.0436116244539,2.0825754058987247,-0.0023133396371234237,1.2682401053553356,Y
0,672,-145.991279735247,1.644864918949373,-0.006220617904286697,7.90578161173543e-06,-40.98707665979636,Y
0,673,-692.0156549562848,7.25324087908399,-0.025417852868873776,2.9808459586748713e-05,-35.0369457088495,Y
0,674,-162.69092192016322,1.913833984591787,-0.007512448481128774,9.846458352739373e-06,-55.011672721551875,Y
0,675,-904.5767814704128,9.432446667487488,-0.03286519895980906,3.829115684102421e-05,-101.2011216720174,Y
0,676,-4153.173046987461,44.57948133295164,-0.15945174383157457,0.00019005967758015514,-90.31517022196354,Y
